Name,Method,Dim,N_sample,DB Size (GB),Time kNN
SK-1M-12d,brute,12.0,1000000.0,0.048,10.295049905776978
SK-10M-12d,brute,12.0,10000000.0,0.48,941.9639177322388
SK-20M-12d,brute,12.0,20000000.0,0.96,3767.8865642547607
SK-30M-12d,brute,12.0,30000000.0,1.44,8460.959235668182
SK-40M-12d,brute,12.0,40000000.0,1.92,15045.113770246506
SK-50M-12d,brute,12.0,50000000.0,2.4,23486.752233982086

