Name,Method,Dim,N_sample,nList,nprobe,DB Size (GB),Total,Time kNN,Recall@10,Train time,Add time,Move time
SK-250M-12d,ivfpq,12.0,250000000.0,65536.0,10.0,12.0,1600.6058990955353,1071.1870639324188,0.48767,262.3086695671081,236.2425692081452,30.86759638786316
SK-250M-12d,ivfpq,12.0,250000000.0,65536.0,25.0,12.0,1880.585572719574,1351.1667375564575,0.67985,262.3086695671081,236.2425692081452,30.86759638786316
SK-250M-12d,ivfpq,12.0,250000000.0,65536.0,50.0,12.0,2413.5138325691223,1884.0949974060056,0.73014,262.3086695671081,236.2425692081452,30.86759638786316
SK-250M-12d,ivfpq,12.0,250000000.0,65536.0,75.0,12.0,2996.361809492111,2466.9429743289948,0.73619,262.3086695671081,236.2425692081452,30.86759638786316
SK-250M-12d,ivfpq,12.0,250000000.0,65536.0,100.0,12.0,3574.544742107392,3045.125906944275,0.73733,262.3086695671081,236.2425692081452,30.86759638786316
SK-300M-12d,brute,12.0,300000000.0,0.0,0.0,14.4,88.93977451324463,88.93977451324463,-,,,
SK-300M-12d,ivfpq,12.0,300000000.0,65536.0,5.0,14.4,1539.7166910171509,960.974267244339,0.3294,262.2341802120209,281.8327248096466,34.67551875114441
SK-300M-12d,ivfpq,12.0,300000000.0,65536.0,10.0,14.4,1918.2156012058256,1339.473177433014,0.49869,262.2341802120209,281.8327248096466,34.67551875114441
SK-300M-12d,ivfpq,12.0,300000000.0,65536.0,25.0,14.4,2294.613958120346,1715.8715343475342,0.6835,262.2341802120209,281.8327248096466,34.67551875114441
SK-300M-12d,ivfpq,12.0,300000000.0,65536.0,50.0,14.4,3046.418229818344,2467.675806045532,0.72904,262.2341802120209,281.8327248096466,34.67551875114441
SK-300M-12d,ivfpq,12.0,300000000.0,65536.0,75.0,14.4,3847.3283858299255,3268.5859620571136,0.73372,262.2341802120209,281.8327248096466,34.67551875114441
SK-300M-12d,ivfpq,12.0,300000000.0,65536.0,100.0,14.4,4678.12428689003,4099.381863117218,0.7346,262.2341802120209,281.8327248096466,34.67551875114441
SK-350M-12d,brute,12.0,350000000.0,0.0,0.0,16.8,100.86399340629578,100.86399340629578,-,,,
SK-350M-12d,ivfpq,12.0,350000000.0,262144.0,5.0,16.8,5968.462150096893,1461.3974180221558,0.24899,3393.3797969818115,1039.8074696063995,73.87746548652649
SK-350M-12d,ivfpq,12.0,350000000.0,262144.0,10.0,16.8,6129.12073969841,1622.0560076236725,0.39833,3393.3797969818115,1039.8074696063995,73.87746548652649
SK-350M-12d,ivfpq,12.0,350000000.0,262144.0,25.0,16.8,6349.514367103577,1842.449635028839,0.62782,3393.3797969818115,1039.8074696063995,73.87746548652649
SK-350M-12d,ivfpq,12.0,350000000.0,262144.0,50.0,16.8,6776.746941804886,2269.6822097301483,0.73546,3393.3797969818115,1039.8074696063995,73.87746548652649
SK-350M-12d,ivfpq,12.0,350000000.0,262144.0,75.0,16.8,7218.644874572754,2711.5801424980164,0.75685,3393.3797969818115,1039.8074696063995,73.87746548652649
SK-350M-12d,ivfpq,12.0,350000000.0,262144.0,100.0,16.8,7667.260931253433,3160.196199178696,0.76306,3393.3797969818115,1039.8074696063995,73.87746548652649
SK-400M-12d,brute,12.0,400000000.0,0.0,0.0,19.2,113.15814900398254,113.15814900398254,-,,,
SK-400M-12d,ivfpq,12.0,400000000.0,262144.0,5.0,19.2,6333.2045640945435,1697.0079066753387,0.25184,3387.927441596985,1174.3494114875793,73.9198043346405
SK-400M-12d,ivfpq,12.0,400000000.0,262144.0,10.0,19.2,6484.3072164058685,1848.1105589866638,0.40269,3387.927441596985,1174.3494114875793,73.9198043346405
SK-400M-12d,ivfpq,12.0,400000000.0,262144.0,25.0,19.2,6759.793596506119,2123.596939086914,0.63036,3387.927441596985,1174.3494114875793,73.9198043346405
SK-400M-12d,ivfpq,12.0,400000000.0,262144.0,50.0,19.2,7280.171456813812,2643.9747993946075,0.72863,3387.927441596985,1174.3494114875793,73.9198043346405
SK-400M-12d,ivfpq,12.0,400000000.0,262144.0,75.0,19.2,7819.585525274277,3183.388867855072,0.74909,3387.927441596985,1174.3494114875793,73.9198043346405
SK-400M-12d,ivfpq,12.0,400000000.0,262144.0,100.0,19.2,8366.12339925766,3729.926741838455,0.75439,3387.927441596985,1174.3494114875793,73.9198043346405

